GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BCV001,BCV002,BCV003,BCV004,BCV005,BCV006,BCV007,BCV008,BCV009,BCV010,BCV011,BCV012,BCV013,BCV014,BCV015,BCV016,BCV017,BCV018,BCV019,BCV020,BCV021,BCV022,BCV023,BCV024,BCV025,BCV026,BCV027,BCV028,BCV029,BCV030,BCV031,BCV032,BCV033,BCV034,BCV035,BCV036,BCV037,BCV038,BCV039,BCV040,BCV041,BCV042,BCV043,BCV044,BCV045,BCV046,BCV047,BCV048,BCV049,BCV050,BCV051,BCV052,BCV053,BCV054,BCV055,BCV056,BCV057,BCV058,BCV059,BCV060,BCV061,BCV062,BCV063,BCV064,BCV065,BCV066,BCV067,BCV068,BCV069,BCV070,BCV071,BCV072,BCV073,BCV074,BCV075,BCV076,BCV077,BCV078,BCV079,BCV080,BCV081,BCV082,BCW001
"G1900410","1926","Iowa","190","Clay","0410","Clay","31","410",0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,300,0,0,0,71,0,0,0,0,98,0,0,0,164,0,0,0,0,0,0,123,370,588,0,0,0,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,40,0,71,0,697,0,0,0,0,0,0,0,0,0,219,0,0,5138
"G1900430","1926","Iowa","190","Clayton","0430","Clayton","31","430",0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,134,325,0,0,0,0,0,0,0,107,0,0,622,0,0,1200,2500,0,0,846,0,0,0,0,1497,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,3931,0,0,0,0,0,218,0,0,0,0,0,0,12104
"G1900450","1926","Iowa","190","Clinton","0450","Clinton","31","450",0,0,0,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,380,0,0,0,117,0,0,0,0,0,0,0,89,291,450,0,0,0,0,260,1425,1717,0,680,0,0,0,0,2216,0,0,0,0,0,0,0,0,0,689,77,766,0,0,0,7607,0,0,0,0,0,0,0,0,0,466,0,0,19404
"G1900470","1926","Iowa","190","Crawford","0470","Crawford","31","470",0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,210,0,0,0,0,0,0,303,180,0,0,0,0,0,40,0,2992,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,586,0,83,0,0,0,1715,0,33,0,0,0,0,0,0,0,473,0,0,7720
"G1900490","1926","Iowa","190","Dallas","0490","Dallas","31","490",0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2104,0,0,0,0,0,0,0,0,60,0,0,52,0,0,0,87,0,0,0,0,330,0,0,0,0,0,0,3709,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,2131,0,0,0,0,0,667,0,0,0,372,0,0,11472
"G1900510","1926","Iowa","190","Davis","0510","Davis","31","510",0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0,3629
"G1900530","1926","Iowa","190","Decatur","0530","Decatur","31","530",0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,91,0,0,0,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,256,0,30,0,0,0,275,0,0,0,0,0,0,0,0,0,670,0,0,5693
"G1900550","1926","Iowa","190","Delaware","0550","Delaware","31","550",0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,45,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,935,235,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,3484,0,0,0,0,0,46,0,0,0,69,0,0,8434
"G1900570","1926","Iowa","190","Des Moines","0570","Des Moines","31","570",0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,480,0,0,0,0,1898,0,0,0,0,107,0,134,1231,0,0,0,0,0,0,193,0,0,2011,0,0,0,0,3963,0,0,0,0,0,0,0,0,0,907,170,297,0,0,0,3395,0,34,0,0,0,0,0,0,0,1425,0,0,17444
"G1900590","1926","Iowa","190","Dickinson","0590","Dickinson","31","590",0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,127,0,330,0,0,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,936,0,0,0,0,0,0,0,0,0,65,0,0,3547
"G1900610","1926","Iowa","190","Dubuque","0610","Dubuque","31","610",0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,0,0,0,0,197,0,0,0,0,0,420,0,0,0,0,0,752,0,0,0,1383,486,0,330,0,0,0,0,1745,0,0,0,0,0,0,0,0,0,1482,0,485,0,0,0,33756,0,0,0,0,0,0,0,0,0,165,0,0,43160
"G1900630","1926","Iowa","190","Emmet","0630","Emmet","31","630",0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,1259,0,121,220,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,666,0,76,0,0,0,886,0,0,0,0,0,0,0,0,0,306,0,0,5349
"G1900650","1926","Iowa","190","Fayette","0650","Fayette","31","650",0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,508,0,0,0,120,0,0,0,0,0,0,0,82,0,0,0,0,0,0,754,2640,442,0,0,0,0,0,0,2599,0,0,0,0,0,0,0,0,0,942,0,56,0,0,0,3853,0,0,0,0,0,22,0,0,0,585,0,0,12963
"G1900670","1926","Iowa","190","Floyd","0670","Floyd","31","670",0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,345,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,2541,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,1312,0,0,0,0,0,0,0,0,0,278,0,0,6646
"G1900690","1926","Iowa","190","Franklin","0690","Franklin","31","690",0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,662,0,0,0,91,389,0,0,0,0,0,0,0,0,170,0,0,0,0,0,589,997,240,0,0,0,0,0,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,591,0,0,0,0,0,0,0,0,0,452,0,0,6516
"G1900710","1926","Iowa","190","Fremont","0710","Fremont","31","710",0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,764,0,0,0,0,51,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1953,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,324,0,0,5740
"G1900730","1926","Iowa","190","Greene","0730","Greene","31","730",0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,124,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,273,108,0,0,0,0,0,2039,0,0,0,0,0,0,0,0,0,633,0,8,0,0,0,1218,0,0,0,0,0,25,0,0,0,386,0,0,5927
"G1900750","1926","Iowa","190","Grundy","0750","Grundy","31","750",0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,89,0,0,0,0,0,0,0,0,539,0,0,0,0,0,148,151,0,163,0,0,0,0,1178,0,0,0,0,0,0,0,0,0,1093,113,0,936,265,0,275,0,0,0,0,0,0,0,0,0,238,0,0,5954
"G1900770","1926","Iowa","190","Guthrie","0770","Guthrie","31","770",0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,1519,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,477,84,0,0,0,0,0,2749,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,1473,0,0,0,0,0,4,0,0,0,132,0,0,7555
"G1900790","1926","Iowa","190","Hamilton","0790","Hamilton","31","790",0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,246,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,2434,0,354,21,265,0,0,0,0,1285,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,770,0,0,0,0,0,293,0,0,0,336,0,0,8205
"G1900810","1926","Iowa","190","Hancock","0810","Hancock","31","810",0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,438,0,485,0,0,0,0,0,0,1820,0,0,0,0,0,0,0,0,0,64,197,0,238,0,0,1617,0,52,0,0,0,197,0,0,0,147,0,0,6393
"G1900830","1926","Iowa","190","Hardin","0830","Hardin","31","830",0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,599,0,0,0,615,1024,0,0,0,579,0,0,0,0,0,0,0,0,0,850,0,1336,0,183,0,0,0,0,1933,0,0,0,0,0,0,0,0,0,250,0,115,0,0,0,807,0,0,0,0,0,0,0,0,0,809,0,0,10102
"G1900850","1926","Iowa","190","Harrison","0850","Harrison","31","850",0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,939,0,0,0,60,0,0,0,0,0,0,0,1265,0,0,0,0,0,0,0,60,723,0,173,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,2281,0,0,0,0,0,0,0,0,0,184,0,0,8701
"G1900870","1926","Iowa","190","Henry","0870","Henry","31","870",0,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,292,0,0,0,0,0,0,0,0,232,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2806,0,0,0,0,0,0,0,0,0,829,96,65,0,0,0,395,0,0,0,0,0,99,0,0,0,973,0,0,8030
"G1900890","1926","Iowa","190","Howard","0890","Howard","31","890",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,857,250,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,282,0,26,0,0,0,5443,0,0,0,0,0,0,0,0,0,140,0,0,8494
"G1900910","1926","Iowa","190","Humboldt","0910","Humboldt","31","910",0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,232,161,282,0,0,0,0,0,1227,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,437,0,0,5942
"G1900930","1926","Iowa","190","Ida","0930","Ida","31","930",0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,999,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,104,0,0,3663
"G1900950","1926","Iowa","190","Iowa","0950","Iowa","31","950",0,0,0,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2298,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,650,0,15,0,0,0,2663,0,0,0,0,0,0,0,0,0,51,0,0,10231
"G1900970","1926","Iowa","190","Jackson","0970","Jackson","31","970",0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,190,2506,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,184,88,85,0,0,0,5488,0,0,0,0,0,0,0,0,0,150,0,0,10370
"G1900990","1926","Iowa","190","Jasper","0990","Jasper","31","990",0,0,0,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,1442,0,0,0,59,449,0,0,0,432,0,0,0,0,0,0,0,0,0,0,180,0,0,235,0,0,0,0,3553,0,0,0,0,0,0,0,0,0,495,345,45,870,337,0,1073,0,0,0,0,0,0,0,0,0,431,0,0,11543
"G1901010","1926","Iowa","190","Jefferson","1010","Jefferson","31","1010",0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,371,50,0,0,241,0,0,0,0,0,0,196,63,0,300,0,0,0,0,2254,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,970,0,0,0,0,0,27,0,0,0,448,0,0,6807
"G1901030","1926","Iowa","190","Johnson","1030","Johnson","31","1030",0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,635,0,0,0,139,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,542,83,0,365,0,0,0,0,1718,0,0,0,0,0,0,0,0,0,742,0,216,0,0,0,7042,0,0,0,0,0,40,0,0,0,254,0,0,13032
"G1901050","1926","Iowa","190","Jones","1050","Jones","31","1050",0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2010,366,0,42,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,930,0,38,0,0,0,2395,0,0,0,0,0,329,0,0,0,108,0,0,8333
"G1901070","1926","Iowa","190","Keokuk","1070","Keokuk","31","1070",0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1665,0,0,0,0,100,0,0,0,171,0,0,0,0,0,0,0,0,0,0,194,119,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,0,655,176,80,0,0,0,2476,0,0,0,0,0,0,0,0,0,505,0,0,9207
"G1901090","1926","Iowa","190","Kossuth","1090","Kossuth","31","1090",0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,58,0,0,0,0,0,0,0,0,605,0,0,250,0,0,297,0,2069,0,0,0,0,0,0,2064,0,0,0,0,0,0,0,0,0,784,0,53,0,170,0,5529,0,0,0,0,0,0,0,0,0,563,0,0,13244
"G1901110","1926","Iowa","190","Lee","1110","Lee","31","1110",0,0,0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1661,0,0,0,0,1239,0,0,0,0,27,0,176,249,0,0,0,0,0,0,0,0,0,120,0,0,0,0,2196,0,0,0,0,0,0,0,0,0,1687,200,782,0,0,0,7537,0,21,0,0,0,0,0,0,0,1158,0,0,19034
"G1901130","1926","Iowa","190","Linn","1130","Linn","31","1130",0,0,0,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,1830,0,0,0,975,0,0,0,0,0,697,0,61,209,0,0,0,0,0,0,0,738,0,823,0,0,0,0,7227,0,0,0,0,0,0,0,0,0,3968,204,720,0,0,0,8404,0,0,0,0,0,295,0,0,0,1249,0,0,31346
"G1901150","1926","Iowa","190","Louisa","1150","Louisa","31","1150",0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,0,816,390,0,0,0,0,46,0,0,0,0,0,100,0,0,0,33,0,0,3489
"G1901170","1926","Iowa","190","Lucas","1170","Lucas","31","1170",0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,114,0,0,0,0,0,0,0,177,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,0,0,0,0,0,0,0,0,558,0,115,0,0,0,379,0,32,0,0,0,496,0,0,0,609,0,0,5029
"G1901190","1926","Iowa","190","Lyon","1190","Lyon","31","1190",0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,184,0,0,0,88,13,0,0,0,0,0,0,0,0,0,0,0,0,0,720,1482,232,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,622,0,0,692,549,0,1209,0,69,0,0,0,0,0,0,0,275,0,0,7266
"G1901210","1926","Iowa","190","Madison","1210","Madison","31","1210",0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,71,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,2638,0,0,0,0,0,0,0,0,0,461,304,11,0,0,0,616,0,0,0,0,0,135,0,0,0,238,0,0,6555
"G1901230","1926","Iowa","190","Mahaska","1230","Mahaska","31","1230",0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,1531,0,0,0,0,0,0,0,0,1007,73,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,2468,0,0,0,0,0,0,0,0,0,426,110,323,922,267,0,528,0,0,0,0,0,15,0,0,0,296,0,0,8967
"G1901250","1926","Iowa","190","Marion","1250","Marion","31","1250",0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,2565,0,0,0,0,0,0,0,0,0,360,0,0,1467,1934,0,1206,0,0,0,0,0,37,0,0,0,431,0,0,10377
"G1901270","1926","Iowa","190","Marshall","1270","Marshall","31","1270",0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,1355,0,0,0,584,137,0,0,0,1180,139,0,113,235,0,0,0,0,0,519,380,858,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,601,0,347,0,0,0,2373,0,0,0,0,0,78,0,0,0,411,0,0,14982
"G1901290","1926","Iowa","190","Mills","1290","Mills","31","1290",0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,453,0,0,0,0,0,0,0,0,10,0,0,70,0,0,0,0,0,0,0,352,106,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0,0,386,0,45,0,0,0,75,0,0,0,0,0,42,0,0,0,794,0,0,4615
