GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7G001,A7G002,A7G003,A7G004,A7G005,A7G006,A7G007,A7G008,A7G009,A7G010,A7G011,A7G012,A7G013,A7G014,A7G015,A7G016,A7G017,A7G018,A7G019,A7G020,A7G021,A7G022,A7G023,A7G024,A7G025,A7G026,A7G027,A7G028,A7G029,A7G030,A7G031,A7G032,A7G033,A7G034,A7G035,A7G036,A7G037,A7G038,A7G039,A7G040,A7G041,A7G042,A7G043,A7G044,A7G045,A7G046,A7G047,A7G048,A7G049,A7G050,A7G051,A7G052,A7G053,A7G054,A7G055,A7G056,A7G057,A7G058,A7G059,A7G060,A7G061,A7G062,A7G063,A7G064,A7G065,A7G066,A7G067,A7G068,A7G069,A7G070,A7G071,A7G072,A7G073,A7G074,A7G075,A7G076,A7G077,A7G078,A7G079,A7G080,A7G081,A7G082,A7G083,A7G084,A7G085,A7G086,A7G087,A7G088,A7G089,A7G090,A7G091,A7G092,A7G093,A7G094,A7G095,A7G096,A7G097,A7G098,A7G099,A7G100,A7G101,A7G102,A7G103,A7G104,A7G105,A7G106,A7G107,A7G108,A7G109,A7H001
"G4201050","1916","Pennsylvania","420","Potter","1050","Potter","14","1050",0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,349,0,205,0,0,0,0,1555,0,0,0,0,0,363,0,0,0,0,0,0,0,0,5456
"G4201070","1916","Pennsylvania","420","Schuylkill","1070","Schuylkill","14","1070",0,0,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,120,0,0,0,0,0,584,0,628,0,0,0,2823,0,0,656,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,11715,3752,0,0,0,0,0,0,56,0,0,0,0,0,0,0,32,0,0,0,0,0,0,5512,0,0,0,0,0,0,0,0,1157,0,0,0,0,0,0,0,1661,0,1938,0,0,11923,0,87068,0,0,0,0,0,1323,0,3348,0,0,0,0,0,0,135478
"G4201090","1916","Pennsylvania","420","Snyder","1090","Snyder","14","1090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,13,0,0,1361,0,0,0,0,0,0,0,563,0,1103,0,0,78,0,0,0,7336
"G4201110","1916","Pennsylvania","420","Somerset","1110","Somerset","14","1110",0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,3428,0,0,0,0,0,399,0,0,1025,0,0,260,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8423,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1871,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,660,0,40,0,0,3786,0,7762,0,0,0,0,0,2053,0,1531,0,0,752,0,0,0,33956
"G4201130","1916","Pennsylvania","420","Sullivan","1130","Sullivan","14","1130",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,9,0,0,0,0,279,0,0,0,0,0,0,0,104,0,33,0,0,128,0,1958,0,0,0,0,0,0,0,361,0,0,0,0,0,0,4078
"G4201150","1916","Pennsylvania","420","Susquehanna","1150","Susquehanna","14","1150",0,0,0,0,0,0,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4504,0,0,0,21,0,0,0,0,420,0,0,0,0,0,0,0,1270,0,614,0,0,0,0,8198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17174
"G4201170","1916","Pennsylvania","420","Tioga","1170","Tioga","14","1170",0,0,0,0,0,0,0,0,0,0,2429,0,0,0,0,0,65,0,0,0,0,0,0,0,193,643,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4027,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,1190,0,708,0,0,0,0,3568,0,0,0,0,0,0,0,303,0,0,0,0,0,0,14770
"G4201190","1916","Pennsylvania","420","Union","1190","Union","14","1190",0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,624,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,1835,0,0,0,0,0,0,8142
"G4201210","1916","Pennsylvania","420","Venango","1210","Venango","14","1210",0,0,0,0,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,359,0,0,70,0,0,0,0,0,74,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,182,100,0,0,0,0,0,6761,0,0,0,0,0,0,0,0,1316,0,0,0,0,0,0,0,4766,645,1262,0,0,168,0,6950,0,0,0,0,0,303,0,1980,0,0,0,0,0,0,27121
"G4201230","1916","Pennsylvania","420","Warren","1230","Warren","14","1230",0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,0,1713,0,591,0,0,176,0,3450,0,0,0,0,0,759,0,130,0,0,0,0,0,0,14794
