GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BTV001,BTV002,BTV003,BTV004,BTV005,BTV006,BTV007,BTV008,BTV009,BTV010,BTV011,BTV012,BTV013,BTV014,BTV015,BTV016,BTV017,BTV018,BTV019,BTV020,BTV021,BTV022,BTV023,BTV024,BTV025,BTV026,BTV027,BTV028,BTV029,BTV030,BTV031,BTV032,BTV033,BTV034,BTV035,BTV036,BTV037,BTV038,BTV039,BTV040,BTV041,BTV042,BTV043,BTV044,BTV045,BTV046,BTV047,BTV048,BTV049,BTV050,BTV051,BTV052,BTV053,BTV054,BTV055,BTV056,BTV057,BTV058,BTV059,BTV060,BTV061,BTV062,BTV063,BTV064,BTV065,BTV066,BTV067,BTV068,BTV069,BTV070,BTV071,BTV072,BTV073,BTV074,BTW001
"G1900230","1936","Iowa","190","Butler","0230","Butler","31","230",0,0,874,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,76,0,0,559,385,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,449,0,0,381,621,789,0,0,0,286,0,0,7679
"G1900250","1936","Iowa","190","Calhoun","0250","Calhoun","31","250",0,0,364,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,685,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1399,282,0,0,0,0,1338,0,0,0,0,0,0,0,2182,0,0,0,0,0,747,0,0,0,0,1371,0,0,0,0,0,0,8901
"G1900270","1936","Iowa","190","Carroll","0270","Carroll","31","270",0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,93,0,0,0,0,278,0,0,0,0,0,2093,0,0,0,0,0,0,0,1799,0,0,0,0,0,979,0,15,0,0,10111,0,0,0,0,0,0,15584
"G1900290","1936","Iowa","190","Cass","0290","Cass","31","290",0,0,188,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,781,0,0,267,182,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,18,793,259,0,0,0,0,0,0,2647,0,0,0,0,0,447,75,0,0,0,1226,0,0,0,0,0,0,8140
"G1900310","1936","Iowa","190","Cedar","0310","Cedar","31","310",0,0,110,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,168,0,0,0,0,0,36,0,0,0,0,1127,487,0,205,0,0,0,0,1584,0,0,0,0,0,470,77,0,0,0,700,0,0,0,0,0,0,6479
"G1900330","1936","Iowa","190","Cerro Gordo","0330","Cerro Gordo","31","330",0,0,1488,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,923,0,0,0,198,0,0,0,0,0,0,0,585,0,0,1028,254,0,0,0,1662,0,0,0,332,0,0,0,0,3321,0,0,0,0,0,365,0,295,0,144,5082,0,0,0,0,0,0,17834
"G1900350","1936","Iowa","190","Cherokee","0350","Cherokee","31","350",0,0,39,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,260,0,0,21,91,0,0,0,0,0,0,0,0,0,106,0,633,0,0,0,0,1169,138,0,0,0,0,0,0,1893,0,0,0,0,0,846,0,0,0,0,2387,0,0,0,75,0,0,7994
"G1900370","1936","Iowa","190","Chickasaw","0370","Chickasaw","31","370",0,0,682,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,210,90,0,0,0,0,0,0,0,0,0,0,1254,0,0,0,0,409,222,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,4526,0,0,0,0,0,0,8751
"G1900390","1936","Iowa","190","Clarke","0390","Clarke","31","390",0,0,419,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,151,0,0,0,20,0,0,2435
"G1900410","1936","Iowa","190","Clay","0410","Clay","31","410",0,0,465,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,420,0,0,0,85,0,0,0,0,0,61,0,0,0,0,305,143,0,0,0,0,554,570,0,0,0,0,0,0,1499,0,0,0,0,0,0,0,0,0,182,705,0,0,0,0,0,0,6082
